,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,latest_stable_release_published_at,latest_stable_release_number,release_count,trending,github_release_downloads,monthly_downloads
38,Declan Chidlow,https://vale.rocks,"['programming', 'science', 'productivity', 'arts']",DeclanChidlow/vale.rocks,,english,https://github.com/DeclanChidlow/vale.rocks,,2021-10-05 02:38:28,2025-11-04 03:26:40,2025-11-04 03:26:38,886.0,120.0,,1.0,6.0,,4.0,13.0,,,2.0,6,True,2.0,,,,,,,
39,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,CC0-1.0,2019-12-29 09:35:55,2025-09-27 04:36:00,2025-09-27 04:35:54,380.0,3.0,1.0,1.0,,,,9.0,,,3.0,6,True,2.0,,,,,,,
40,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,MIT,2011-02-01 11:59:36,2025-09-20 21:04:39,2025-09-20 21:04:24,1928.0,1.0,,1.0,11.0,,,2.0,,,20.0,6,True,1.0,,,,,,,
41,Gavin Arturo Gamboa 🌱☁️✨ gavart.ist,https://gavart.ist,"['arts', 'programming']",protrolium/gavart.ist,Digital garden of a composer.,english,https://github.com/protrolium/gavart.ist,,2024-05-17 20:12:34,2025-10-29 00:23:40,2025-10-29 00:23:38,175.0,17.0,,1.0,,,,,,,,6,True,2.0,,,,,,,
42,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,9.0,5.0,4.0,,,66.0,,,2.0,5,True,3.0,,,,,,,
43,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,7.0,4.0,,1.0,1.0,49.0,,,2.0,5,True,3.0,,,,,,,
44,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,5.0,2.0,,,48.0,,,,5,False,3.0,,,,,,,
45,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,,2021-08-23 20:20:08,2024-01-17 21:08:42,2024-01-17 21:08:37,173.0,,2.0,1.0,1.0,,,43.0,,,,5,True,3.0,,,,,,,
46,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,,2018-02-10 10:44:54,2025-09-25 08:59:29,2025-09-25 08:59:24,479.0,2.0,1.0,3.0,,,1.0,40.0,,,,5,True,3.0,,,,,,,
47,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,,2020-06-28 14:40:32,2024-07-15 02:40:33,2024-07-15 02:40:30,246.0,,16.0,2.0,5.0,,,35.0,,,3.0,5,True,3.0,,,,,,,
48,Daniel Schildt,https://github.com/d2s/knowledge,"['programming', 'linux', 'arts', 'science']",d2s/knowledge,,english,https://github.com/d2s/knowledge,,2016-01-21 02:41:09,2020-06-11 21:04:21,2020-06-11 21:03:51,140.0,,3.0,4.0,1.0,1.0,,21.0,,,2.0,5,False,3.0,,,,,,,
49,The Refined Mind,https://refinedmind.co/digital-garden,[],MikeTannenbaum/my-public-mind,,english,https://github.com/MikeTannenbaum/my-public-mind,,2020-05-29 16:00:06,2022-12-13 18:22:24,2022-12-13 18:22:22,185.0,,2.0,,1.0,,,14.0,,,4.0,5,True,3.0,,,,,,,
50,Brian Turchyn,https://wiki.brianturchyn.net,"['health', 'productivity', 'programming']",b-turchyn/wiki,,english,https://github.com/b-turchyn/wiki,CC-BY-SA-4.0,2022-04-11 14:41:41,2025-07-09 20:45:30,2025-07-09 20:45:25,814.0,,,1.0,3.0,,,14.0,,,2.0,5,True,3.0,,,,,,,
51,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,,2020-04-18 14:15:35,2025-10-06 08:25:47,2025-10-06 08:25:43,300.0,2.0,4.0,3.0,1.0,,,13.0,,,2.0,5,True,3.0,,,,,,,
52,Caio Gondim,https://github.com/caiogondim/knowledge,"['programming', 'linux']",caiogondim/knowledge,,english,https://github.com/caiogondim/knowledge,MIT,2016-04-19 18:23:40,2016-06-14 11:56:52,2016-06-14 11:48:11,23.0,,1.0,4.0,,,,12.0,,,2.0,5,False,3.0,,,,,,,
53,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,,english,https://github.com/StrikingLoo/strikingloo.github.io,,2020-06-11 20:36:07,2025-09-17 19:28:17,2025-08-07 18:33:32,1826.0,1.0,3.0,2.0,31.0,,1.0,8.0,,,4.0,5,True,3.0,,,,,,,
54,Walter Teng,https://walterteng.com/garden,"['programming', 'productivity', 'arts']",davzoku/personal-website-v1,,english,https://github.com/davzoku/personal-website-v1,MIT,2021-06-15 15:25:18,2025-04-24 16:38:40,2025-04-24 16:38:40,206.0,,2.0,1.0,90.0,,,4.0,,,2.0,5,True,3.0,,,,,,,
55,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,,2019-01-29 01:07:38,2023-03-29 03:35:54,2023-03-29 03:35:54,750.0,,2.0,1.0,,,,24.0,,,2.0,4,True,3.0,,,,,,,
56,Andrew Zappella,https://github.com/azappella/knowledge,"['programming', 'productivity', 'linux']",azappella/knowledge,,english,https://github.com/azappella/knowledge,,2018-06-26 16:04:46,2025-03-24 09:31:36,2025-03-24 09:31:31,155.0,,1.0,2.0,,,,20.0,,,,4,True,3.0,,,,,,,
57,Alex Pliutau,https://github.com/plutov/notebook,['programming'],plutov/notebook,,english,https://github.com/plutov/notebook,,2018-08-20 02:42:32,2021-03-06 09:16:55,2021-03-06 09:16:55,70.0,,6.0,3.0,1.0,,,12.0,,,2.0,4,False,3.0,,,,,,,
58,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,,2019-01-31 17:47:00,2024-08-08 10:27:30,2024-08-08 10:27:21,188.0,,1.0,4.0,,,,8.0,,,2.0,4,True,3.0,,,,,,,
59,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/mx,,2020-09-27 02:34:26,2023-04-26 20:36:57,2023-04-19 21:15:01,565.0,,1.0,1.0,4.0,,,7.0,,,,4,True,3.0,flber/mx,,,,,,
60,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,,2021-04-07 14:35:27,2025-03-03 05:19:23,2025-03-03 05:19:16,1336.0,,,2.0,,,,5.0,,,2.0,4,True,3.0,,,,,,,
61,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,GPL-3.0,2020-10-19 22:55:09,2023-04-15 17:11:43,2023-04-15 17:11:02,95.0,,,,,,,2.0,,,7.0,4,True,3.0,,,,,,,
62,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,,2021-11-06 18:24:10,2025-11-02 16:15:57,2025-11-02 16:14:33,570.0,6.0,1.0,1.0,50.0,,,,,,2.0,4,True,3.0,,,,,,,
