,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads,trending
64,Piotr Stojanow,https://wiki.stojanow.com/,"['science', 'arts', 'activism', 'productivity']",psto/episteme,,english,https://github.com/psto/episteme,2019-01-31 17:47:00,2021-11-19 11:43:03,2021-11-19 11:42:38,186.0,,,4.0,,,,6.0,2.0,4,True,3.0,,,,,,,,,
65,(Nick Belzer,https://notes.nickbelzer.me/,['programming'],nbelzer/notes,,english,https://github.com/nbelzer/notes,2020-04-25 18:21:31,2022-12-12 19:00:51,2022-12-03 14:28:47,110.0,35.0,,2.0,38.0,1.0,,5.0,2.0,4,True,3.0,,,,,,,,,
66,Myles Braithwaite,https://wiki.mylesb.ca/,"['programming', 'arts', 'linux', 'productivity']",myles/wiki,,english,https://github.com/myles/wiki,2017-10-30 00:35:00,2023-01-09 22:35:13,2022-12-26 17:42:03,435.0,11.0,,2.0,137.0,1.0,1.0,2.0,4.0,4,True,3.0,CC0-1.0,2019-01-14 15:42:02,2018,1.0,,,12.0,0.0,
67,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,2020-10-19 22:55:09,2022-10-10 13:47:45,2022-04-09 16:37:38,73.0,,,,,,,2.0,7.0,4,True,3.0,GPL-3.0,,,,,,,,
68,Stephen McAleese,https://directory.stephenmcaleese.com/,"['science', 'productivity']",smcaleese/directory,,english,https://github.com/smcaleese/directory,2019-02-13 20:50:10,2022-12-09 15:40:20,2021-02-14 21:42:32,47.0,,,1.0,34.0,,,,,4,True,3.0,,,,,,,,,
69,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,https://github.com/rsarai/rsarai.github.io,2020-02-07 01:46:20,2022-12-20 11:24:02,2022-12-20 11:23:44,108.0,4.0,,2.0,13.0,,,,2.0,4,True,3.0,MIT,,,,,,,,
70,Believer,https://devlog.willcodefor.beer/,['programming'],believer/devlog,,english,https://github.com/believer/devlog,2021-06-13 07:49:07,2022-04-23 04:28:06,2022-04-23 04:28:06,142.0,,1.0,2.0,,,,22.0,2.0,3,True,3.0,,,,,,,,,
71,David Seah,https://davidseah.gitbook.io/davidseah/,"['productivity', 'programming']",davidseah/knowledgebank,,english,https://github.com/davidseah/knowledgebank,2019-10-24 01:09:09,2021-09-02 01:33:58,2021-09-02 01:33:56,208.0,,,1.0,,,,7.0,,3,True,3.0,,,,,,,,,
72,Josh Pierro,https://github.com/joshpierro/knowledge,"['programming', 'linux', 'arts']",joshpierro/knowledge,,english,https://github.com/joshpierro/knowledge,2017-03-09 18:24:08,2019-04-30 15:55:55,2019-04-30 15:55:54,14.0,,,3.0,,,,4.0,,3,True,3.0,,,,,,,,,
73,Oleh Kuchuk,https://github.com/hzlmn/week-learning,"['python', 'programming']",hzlmn/week-learning,,english,https://github.com/hzlmn/week-learning,2017-03-26 10:04:54,2019-08-18 21:28:23,2019-08-18 21:28:22,47.0,,,3.0,,,,4.0,2.0,3,True,3.0,,,,,,,,,
