,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
30,Paul Copplestone,https://paul.copplest.one/knowledge/,"['arts', 'science', 'programming']",kiwicopple/paul.copplest.one,,english,https://github.com/kiwicopple/paul.copplest.one,2019-04-06 11:12:55,2022-06-16 22:24:27,2022-01-31 07:49:15,266.0,,12.0,2.0,41.0,,,25.0,7.0,7,True,2.0,,,,,,
31,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,2018-02-10 10:44:54,2022-05-25 09:41:16,2022-05-25 09:41:11,393.0,30.0,1.0,3.0,,,1.0,24.0,,7,True,2.0,,,,,,
32,pawamoy's website,https://pawamoy.github.io,"['programming', 'python', 'science']",pawamoy/website/,,english,https://github.com/pawamoy/website,2020-06-04 21:33:15,2022-05-28 11:09:05,2022-05-28 11:08:48,187.0,3.0,4.0,3.0,1.0,3.0,,16.0,,7,True,2.0,,,,,,
33,Kyle King recipes,https://recipes.kyleking.me/,['arts'],KyleKing/recipes,,english,https://github.com/KyleKing/recipes,2017-09-13 00:21:11,2022-06-05 13:57:26,2022-06-05 13:57:26,393.0,12.0,,2.0,8.0,1.0,8.0,4.0,2.0,7,True,2.0,MIT,,,,,
34,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,4.0,,,1.0,29.0,,6,True,3.0,MIT,,,,,
35,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,2016-02-17 01:44:04,2022-06-13 06:09:30,2022-06-13 06:09:14,242.0,1.0,3.0,4.0,3.0,,,20.0,3.0,6,True,3.0,,,,,,
36,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2022-06-19 03:33:05,2022-06-19 03:33:00,218.0,16.0,8.0,2.0,4.0,,,19.0,3.0,6,True,3.0,,,,,,
37,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,4.0,1.0,1.0,11.0,16.0,2.0,6,False,3.0,CC-BY-SA-4.0,,,,,
38,Kirill Gorbachyonok,https://github.com/japanese-goblinn/knowledge-base,"['programming', 'productivity']",japanese-goblinn/knowledge-base,,english,https://github.com/japanese-goblinn/knowledge-base,2022-04-22 21:44:57,2022-06-20 19:59:51,2022-06-20 19:59:46,97.0,97.0,,1.0,,,,15.0,,6,True,3.0,,2022-05-17 17:22:03,1.0,1.0,,
39,Mineral Existence,https://mineralexistence.com/home.html,"['programming', 'arts']",flber/Mineral-Existence,,english,https://github.com/flber/Mineral-Existence,2020-09-27 02:34:26,2022-06-21 07:49:10,2022-06-21 07:48:52,487.0,27.0,,1.0,,,,6.0,,6,True,3.0,,,,,,
40,Jake Chvatal,https://wiki.jacob.chvatal.com/,[],jakeisnt/wiki,,english,https://github.com/jakeisnt/wiki,2020-07-06 23:00:29,2022-04-22 04:41:57,2022-04-22 04:41:56,522.0,3.0,2.0,1.0,8.0,2.0,23.0,4.0,4.0,6,True,3.0,,,,,,
41,Carlos Delfino,https://carlosdelfino.github.io,[],CarlosDelfino/carlosdelfino.github.com,,portuguese,https://github.com/carlosdelfino/carlosdelfino.github.com,2011-02-01 11:59:36,2022-04-15 13:41:04,2022-04-15 13:40:46,1831.0,2.0,,1.0,11.0,,,1.0,20.0,6,True,1.0,MIT,,,,,
42,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,6.0,2.0,,,49.0,,5,False,3.0,,,,,,
