,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,trending,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count
44,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,2020-04-18 14:15:35,2022-05-10 01:23:46,2022-05-10 01:23:43,186,10.0,2.0,2.0,1.0,,,3.0,2.0,5,True,3,,1.0,,,,,
45,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,2019-03-24 01:09:02,2022-05-09 02:50:47,2022-05-09 02:50:27,426,12.0,,3.0,6.0,,,2.0,3.0,5,True,3,,,,,,,
46,Things Learned,https://sunflowerno0b.github.io/ATW/,"['programming', 'linux']",sunflowerno0b/ATW,,english,https://github.com/sunflowerno0b/ATW,2020-10-19 22:55:09,2022-04-09 16:38:35,2022-04-09 16:37:38,73,7.0,,,,,,2.0,7.0,5,True,3,GPL-3.0,,,,,,
47,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,2021-04-07 14:35:27,2022-05-12 05:36:44,2022-05-12 05:36:40,750,163.0,,1.0,,,,1.0,2.0,5,True,3,,,,,,,
48,Mathias Borgmalm,https://wiki.mathiasborgmalm.dev/,"['arts', 'programming']",MateBoy/knowledge-base,,english,https://github.com/MateBoy/knowledge-base,2019-10-24 11:08:31,2021-07-05 08:11:39,2021-07-05 08:11:30,83,,,1.0,,,,,3.0,5,True,3,MIT,,,,,,
49,Mehmet Kanat,https://github.com/mehmetka/notebook,['programming'],mehmetka/notebook,,english,https://github.com/mehmetka/notebook,2020-09-13 16:06:40,2022-04-28 20:31:43,2022-04-28 20:31:38,105,64.0,,1.0,,,,,,5,True,3,,,,,,,
50,Rebeca Sarai,https://rsarai.github.io/,[],rsarai/rsarai.github.io,,english,https://github.com/rsarai/rsarai.github.io,2020-02-07 01:46:20,2022-05-10 00:26:58,2022-05-10 00:26:52,92,17.0,,2.0,9.0,,,,2.0,5,True,3,MIT,,,,,,
51,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,2019-01-29 01:07:38,2022-04-12 04:28:03,2022-04-12 04:28:03,748,2.0,3.0,2.0,,,,18.0,2.0,4,True,3,,,,,,,
52,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,2020-06-28 14:40:32,2022-01-26 03:44:03,2022-01-26 03:44:00,202,,7.0,2.0,3.0,,,16.0,3.0,4,True,3,,,,,,,
53,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,2021-08-23 20:20:08,2022-05-11 08:00:04,2022-05-11 08:00:00,99,6.0,,1.0,,,,14.0,,4,True,3,,,,,,,
