,name,homepage,labels,github_id,description,category,github_url,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,projectrank_placing,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,github_release_downloads,monthly_downloads
32,Omar Bahareth,https://wiki.omar.engineer/,"['programming', 'science']",obahareth/knowledge,,english,https://github.com/obahareth/knowledge,MIT,2018-10-01 15:35:49,2022-08-25 10:30:44,2022-08-10 09:10:09,123.0,,2.0,4.0,1.0,,,26.0,,,,7,True,2.0,,,,,,,
33,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,,2016-02-17 01:44:04,2023-11-29 06:20:10,2023-11-29 05:51:41,247.0,,3.0,6.0,3.0,,,21.0,,,3.0,7,True,2.0,,,,,,,
34,StrikingLoo (Luciano's Digital Garden),https://strikingloo.github.io,"['productivity', 'programming', 'python']",StrikingLoo/strikingloo.github.io,,english,https://github.com/StrikingLoo/strikingloo.github.io,,2020-06-11 20:36:07,2024-12-30 10:04:03,2024-12-30 10:04:02,1759.0,34.0,2.0,4.0,28.0,,1.0,8.0,,,4.0,7,True,2.0,,,,,,,
35,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,,english,https://github.com/Yarden-zamir/me,,2022-11-21 13:38:48,2024-12-27 18:17:30,2024-12-27 18:17:28,359.0,46.0,5.0,1.0,3.0,1.0,3.0,3.0,,,2.0,7,True,2.0,,,,,,,
36,nkintc,https://nkintc.gitbook.io/brainless/,"['arts', 'science', 'linux']",nkintc/nkintc.github.io,,english,https://github.com/nkintc/nkintc.github.io,MIT,2020-04-30 17:33:44,2024-12-28 18:13:09,2024-12-28 18:13:08,394.0,1.0,,,2.0,,,,,,,7,True,2.0,,,,,,,
37,Pensieve,https://paveloom.github.io/pensieve,"['programming', 'linux', 'science']",paveloom/paveloom.github.io,,english,https://github.com/paveloom/paveloom.dev,MIT,2020-02-01 14:29:58,2025-01-20 19:28:59,2025-01-20 19:28:24,1242.0,1.0,,2.0,60.0,,10.0,,,,3.0,7,True,2.0,paveloom/paveloom.dev,,,,,,
38,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,CC-BY-4.0,2020-03-07 16:16:24,2024-02-11 20:37:36,2024-02-11 20:37:30,119.0,,6.0,5.0,1.0,,1.0,82.0,,,,6,True,3.0,,,,,,,
39,Robb Knight - The Intersect,https://intersect.rknight.me/,"['productivity', 'health', 'linux', 'programming']",rknightuk/intersect,,english,https://github.com/rknightuk/intersect,,2021-08-23 20:20:08,2024-01-17 21:08:42,2024-01-17 21:08:37,173.0,,2.0,3.0,1.0,,,40.0,,,,6,True,3.0,,,,,,,
40,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,,2018-02-10 10:44:54,2025-01-31 18:40:32,2025-01-31 18:40:26,471.0,3.0,1.0,4.0,,,1.0,39.0,,,,6,True,3.0,,,,,,,
41,Imron Rosyadi,https://irosyadi.gitbook.io/irosyadi/,['programming'],irosyadi/gitbook,,english,https://github.com/irosyadi/gitbook,,2020-06-28 14:40:32,2024-07-15 02:40:33,2024-07-15 02:40:30,246.0,,15.0,3.0,5.0,,,32.0,,,3.0,6,True,3.0,,,,,,,
42,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,MIT,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,6.0,,,1.0,29.0,,,,6,True,3.0,,,,,,,
43,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,CC-BY-SA-4.0,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,6.0,1.0,1.0,11.0,16.0,,,2.0,6,False,3.0,,,,,,,
44,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,,2020-04-18 14:15:35,2025-01-02 00:56:57,2025-01-02 00:56:53,285.0,5.0,4.0,5.0,1.0,,,13.0,,,2.0,6,True,3.0,,,,,,,
45,Rachel Brindle,https://knowledge.rachelbrindle.com/,"['activism', 'science', 'arts', 'productivity', 'programming', 'python', 'linux']",younata/personal_knowledge,,english,https://github.com/younata/personal_knowledge,,2019-03-24 01:09:02,2025-01-14 01:40:31,2025-01-13 23:50:01,472.0,10.0,,4.0,6.0,,,9.0,,,3.0,6,True,3.0,,,,,,,
46,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,CC0-1.0,2019-12-29 09:35:55,2025-02-04 16:29:34,2025-02-04 16:29:28,363.0,8.0,1.0,1.0,,,,8.0,,,3.0,6,True,3.0,,,,,,,
47,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,,2021-04-07 14:35:27,2025-02-04 05:19:40,2025-02-04 05:19:34,1325.0,33.0,,2.0,,,,5.0,,,2.0,6,True,3.0,,,,,,,
