,name,homepage,labels,github_id,description,category,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,license,updated_github_id,trending,latest_stable_release_published_at,latest_stable_release_number,release_count,dependent_project_count,github_dependent_project_count,github_release_downloads,monthly_downloads
38,Karlicoss Exobrain,https://beepb00p.xyz/exobrain/,"['programming', 'arts', 'science', 'health', 'productivity']",karlicoss/exobrain,,english,https://github.com/karlicoss/exobrain,2020-03-07 16:16:24,2021-05-23 07:58:57,2021-05-23 07:58:48,102.0,,6.0,5.0,1.0,,1.0,68.0,,6,True,3.0,CC-BY-4.0,,,,,,,,,
39,Joseph Rex,https://github.com/josephrexme/knowledge,"['programming', 'arts']",josephrexme/knowledge,,english,https://github.com/josephrexme/knowledge,2017-03-18 09:01:42,2021-10-29 15:05:30,2021-10-29 15:05:27,85.0,,1.0,6.0,,,1.0,29.0,,6,True,3.0,MIT,,,,,,,,,
40,Aizat Faiz,https://www.aizatto.com/,['programming'],aizatto/gitbook-public,,english,https://github.com/aizatto/gitbook-public,2019-01-29 01:07:38,2023-03-29 03:35:54,2023-03-29 03:35:54,750.0,,3.0,3.0,,,,21.0,2.0,6,True,3.0,,,,,,,,,,
41,Ezekiel Kigbo,https://github.com/theatlasroom/tidbits,"['programming', 'science']",theatlasroom/tidbits,,english,https://github.com/theatlasroom/tidbits,2016-02-17 01:44:04,2023-01-16 05:47:27,2023-01-16 05:47:22,246.0,,3.0,5.0,3.0,,,20.0,3.0,6,True,3.0,,,,,,,,,,
42,Sam Yamashita,https://github.com/sotayamashita/knowledge,"['programming', 'linux']",sotayamashita/knowledge,,english,https://github.com/sotayamashita/knowledge,2016-08-08 00:42:35,2018-02-06 16:32:26,2018-02-06 16:32:26,344.0,,1.0,5.0,1.0,1.0,11.0,16.0,2.0,6,False,3.0,CC-BY-SA-4.0,,,,,,,,,
43,Nimalan aka mark1626,https://mark1626.github.io/knowledge/,"['science', 'programming', 'linux']",mark1626/knowledge,,english,https://github.com/Mark1626/knowledge,2019-12-29 09:35:55,2023-07-17 16:21:41,2023-07-17 16:21:37,332.0,12.0,,1.0,,,,6.0,2.0,6,True,3.0,CC0-1.0,,,,,,,,,
44,SecretGeek TIL,https://til.secretgeek.net/,"['programming', 'linux', 'arts', 'python', 'productivity']",secretGeek/today-i-learned-staging,,english,https://github.com/secretGeek/today-i-learned-staging,2020-04-18 14:15:35,2023-07-29 11:44:23,2023-07-29 11:44:20,249.0,26.0,2.0,4.0,1.0,,,6.0,2.0,6,True,3.0,,,,,,,,,,
45,Memento,https://m0wer.github.io/memento/,"['programming', 'linux', 'python', 'arts']",m0wer/memento,,english,https://github.com/m0wer/memento,2021-04-07 14:35:27,2023-08-01 05:26:11,2023-08-01 05:26:04,1049.0,52.0,,2.0,,,,5.0,2.0,6,True,3.0,,,,,,,,,,
46,Yarden Zamir - an open sourced 🧠,https://www.yarden-zamir.com,"['programming', 'productivity']",Yarden-zamir/me,,english,https://github.com/Yarden-zamir/me,2022-11-21 13:38:48,2023-07-24 10:10:06,2023-07-24 10:10:00,260.0,12.0,4.0,2.0,3.0,1.0,3.0,3.0,2.0,6,True,3.0,,,,,,,,,,
47,The Golden Forest,https://www.lorien.cloud/,"['linux', 'tools']",sdelrio/golden-forest,,english,https://github.com/sdelrio/golden-forest,2021-11-06 18:24:10,2023-07-31 12:02:24,2023-07-31 11:59:52,277.0,22.0,,2.0,12.0,,,,,6,True,3.0,,,,,,,,,,
48,Edward Wardell-Yerburgh,https://notes.eddyerburgh.me/,['programming'],eddyerburgh/notes,,english,https://github.com/eddyerburgh/notes,2019-08-09 06:56:25,2022-03-16 21:09:51,2022-03-16 21:09:48,123.0,,10.0,6.0,4.0,,,51.0,2.0,5,True,3.0,,,,,,,,,,
49,Josh Johnston,https://github.com/joshwnj/knowledge,"['programming', 'productivity', 'arts']",joshwnj/knowledge,,english,https://github.com/joshwnj/knowledge,2015-10-31 13:29:12,2018-01-25 03:21:53,2018-01-25 03:21:51,57.0,,4.0,7.0,2.0,,,50.0,,5,False,3.0,,,,,,,,,,
50,Junwei Zhao,https://wiki.toozhao.com/#/,"['programming', 'linux']",wahyd4/knowledge,,english,https://github.com/wahyd4/knowledge,2017-06-02 09:24:45,2022-07-25 05:38:16,2022-07-25 05:38:16,233.0,,7.0,6.0,,1.0,1.0,46.0,2.0,5,True,3.0,,,,,,,,,,
51,E. Ferreira,https://github.com/slowernews/notebook,"['programming', 'arts']",slowernews/notebook,,english,https://github.com/slowernews/notebook,2018-02-10 10:44:54,2023-05-02 13:26:57,2023-05-02 13:26:46,438.0,,1.0,4.0,,,1.0,36.0,,5,True,3.0,,,-1.0,,,,,,,
